Client ID,Name,Age,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Fee Structure,Loyalty Classification,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,GenderId,IAId
IND81288,Raymond Mills,24,34324,5/6/2019 0:00,Anthony Torres,American,Safety Technician IV,High,Jade,75384.7686,17677.95,1,484.544,776242.9184,1485828.637,603617.8836,607332.4552,12249.9584,1134475.302,1,2,Retail,Male,Victor Dean
IND93121,Aaron Marshall,26,28661,1/14/2013 0:00,Ernest Rivera,American,Media Manager IV,Mid,Jade,308182.9292,64332.66,1,4458.608,649331.837,103871.6333,77431.58115,133711.1206,12045.066,176113.982,0,5,Commercial,Female,Victor Dean
IND65833,Julia Spencer,23,42205,12/10/2001 0:00,Jonathan Hawkins,African,Software Consultant,High,Jade,289834.314,17398.92,1,2256.8777,1270615.431,641482.7896,229521.3651,344635.1574,61162.3089,2000526.105,1,3,Institutional,Male,Jeremy Porter
IND47499,Stephen Murray,27,7314,1/25/2010 0:00,Anthony Berry,European,Help Desk Operator,High,Gold,169935.2252,42825.9,2,4568.7438,1052715.843,1033401.593,652674.6906,203054.3482,79071.7794,548137.5816,1,3,Private Bank,Female,Ernest Knight
IND72498,Virginia Garza,40,34594,3/28/2019 0:00,Steve Diaz,American,Geologist II,Mid,Silver,356808.1125,5473.15,2,4205.001,121195.057,1048157.494,1048157.494,234685.0193,57513.652,1148402.292,0,4,Commercial,Male,Eric Shaw
IND60181,Melissa Sanders,46,41269,7/20/2012 0:00,Shawn Long,American,Assistant Professor,Mid,Platinum,130711.68,48077.6,1,3779.488,1048301.952,487782.534,446644.248,128351.4523,30012.136,1674412.12,0,3,Retail,Female,Kevin Kim
IND78532,Samuel Hudson,23,13204,2/7/2019 0:00,Douglas Tucker,American,Help Desk Technician,High,Silver,118326.96,6028.2,2,5148.5625,601902.495,1307269.409,745627.7367,238310.3714,15615.18,1556031.06,1,2,Retail,Male,Victor Rogers
IND95683,Timothy Alexander,46,42910,6/2/2002 0:00,Douglas Tucker,Asian,Account Coordinator,High,Gold,57336.4736,13929.16,1,959.9016,208909.6884,41200.18333,60588.5049,24639.32533,3045.7812,154111.6164,1,1,Retail,Female,Eugene Cunningham
IND40785,Carl Martin,78,6127,11/3/2000 0:00,Steve Diaz,European,Automation Specialist II,Mid,Gold,65125.7984,31077.8,1,4576.5824,1140704.802,156983.1311,53889.73158,46813.77552,51979.1896,1171456.676,0,2,Institutional,Female,Joe Carroll
IND13570,Philip Day,67,32656,4/7/2015 0:00,Bruce Butler,Asian,Software Test Engineer II,High,Silver,87849.4734,9385.35,1,78.624,803444.46,1242347.215,328334.6212,279528.1234,27125.28,464560.278,0,1,Institutional,Female,Steve Sanchez
IND53299,Jason Sims,51,28340,11/20/1995 0:00,Joe Price,European,Geologist III,Mid,Silver,65369.36,27364.8,3,4836.864,60027.904,317246.6688,111532.032,115869.3888,48043.52,908583.936,2,1,Private Bank,Male,Lawrence Sanchez
IND76263,Amy Martinez,55,40459,10/18/2014 0:00,Adam Hernandez,European,Administrative Officer,High,Jade,74966.5125,16928.73,1,493.317,214327.8225,37979.77343,19335.15738,52204.92493,10539.7875,353119.932,3,1,Private Bank,Male,Peter Castillo
IND56452,David Johnston,73,25563,9/12/2005 0:00,Chris Armstrong,American,Database Administrator II,Mid,Jade,111449.0562,17480.19,2,392.5875,580468.506,749007.9443,204991.6479,513425.235,22904.9085,294397.8465,0,2,Private Bank,Female,Victor Gutierrez
IND28766,Wayne Foster,45,35687,3/17/2018 0:00,Joshua Ryan,African,Staff Scientist,Low,Silver,115637.1888,10848.6,1,5055.309,815250.639,616330.9289,208277.3484,138738.2174,6336.645,972455.463,3,1,Private Bank,Female,Daniel Carroll
IND17897,Carlos Moore,44,19554,1/2/1996 0:00,Paul Larson,American,Programmer I,High,Jade,124434.7776,26146,2,5211.3704,984792.4968,802862.9692,263714.114,174051.3152,68855.4876,835554.8348,0,2,Private Bank,Female,Carl Anderson
IND86325,Lisa Johnston,36,33368,6/5/2020 0:00,Mark Montgomery,Asian,Software Test Engineer I,High,Platinum,260795.3376,11584.68,1,2866.3362,310876.6206,116399.8642,69072.4469,67077.02065,48101.1258,1136169.298,1,2,Private Bank,Male,Nicholas Ward
IND74197,Andrew Mills,55,27913,1/6/2021 0:00,Shawn Wallace,European,Actuary,Mid,Silver,78892.5201,32369.71,1,4882.1292,1510860.64,317542.212,134344.782,71284.15554,20708.5476,2283081.575,3,2,Private Bank,Male,Fred Bryant
IND28503,Jack Coleman,61,9505,6/22/2014 0:00,Ernest Rivera,Asian,Staff Accountant II,High,Silver,257120.2197,16263.99,1,8614.0584,436988.439,2446251.572,1273391.229,253337.8341,80698.2588,1128082.14,1,3,Commercial,Female,Ryan Taylor
IND56539,Aaron Day,56,36232,1/19/2020 0:00,Gregory Simmons,Asian,Assistant Media Planner,Low,Jade,145704.5538,3078.27,1,1895.0568,384153.3696,55118.86598,25590.90206,64095.36702,10492.3728,199617.8184,3,1,Commercial,Female,Sean Vasquez
IND53604,Kevin Weaver,43,6299,3/31/2019 0:00,Frank Brown,American,Staff Accountant I,Low,Jade,34404.16,19668.4,2,5384.7,1102836.16,204450.828,89694.5568,35877.82272,22452.06,1115542.44,3,1,Private Bank,Female,Nicholas Morrison
IND32064,Mary Fox,63,7694,3/9/2009 0:00,Adam Hernandez,Australian,Compensation Analyst,Mid,Jade,129060.8774,17283.63,1,395.577,1000409.319,966281.3433,472404.2123,396819.5383,37271.052,1631986.902,2,4,Retail,Female,Jack Phillips
IND72934,Carlos Little,41,38321,4/3/2020 0:00,Jonathan Hawkins,American,Geologist I,Low,Jade,129981.3132,10242.84,2,2383.8624,373846.6872,38406.7993,11024.17387,25028.43087,24422.1048,441603.5328,2,1,Institutional,Male,Juan Ramirez
IND16101,Roger Boyd,58,12772,12/31/2015 0:00,Adam Hernandez,European,Web Designer II,High,Jade,123545.4195,2984.52,1,2789.4375,1400623.124,547459.7362,324420.5844,42985.72743,31481.784,1255331.52,3,2,Private Bank,Female,Gregory Boyd
IND93310,Cheryl Stewart,21,8767,5/23/2021 0:00,Victor Martinez,European,Accounting Assistant II,High,Gold,122579.4094,10312.54,1,4959.3635,963017.5555,1115098.091,368467.1953,721419.9824,11782.2215,861771.2565,1,2,Retail,Male,Jeremy Porter
IND71301,Anne Nguyen,41,14954,9/19/2021 0:00,Joshua Ryan,American,Programmer II,High,Jade,30942.074,4469.98,1,3338.6436,276532.7712,132960.519,108193.3635,22381.68737,23955.9036,622223.7048,0,1,Retail,Female,Ernest Knight
IND21279,Christopher Evans,36,24058,3/20/2013 0:00,Adam Hernandez,European,Administrative Assistant IV,High,Jade,50651.5625,8097.25,3,509.205,278071.3725,302540.5963,94771.75305,153748.944,16732.385,430027.7725,3,1,Retail,Female,Eric Shaw
IND98618,Maria Clark,34,8623,1/29/2014 0:00,Joe Hanson,Asian,Help Desk Operator,High,Silver,502309.08,69381,2,10639.314,1469913.228,1724818.297,507299.499,1168238.275,75592.251,2143826.055,0,4,Institutional,Male,Joe Carroll
IND35589,Jimmy Simpson,52,38270,1/8/2018 0:00,George Lewis,European,Geological Engineer,High,Jade,87019.7328,11316.5,2,1253.681,273944.5566,192711.7818,54150.41804,73580.86215,21530.9094,772573.6018,1,1,Institutional,Female,Steve Sanchez
IND40198,Louise Sanders,78,29119,5/24/2005 0:00,Shawn Cook,European,Junior Executive,Low,Jade,246615.84,35332,3,5835.256,622181.88,765153.5899,552072.8434,308192.2434,29778.576,1078308.288,0,3,Private Bank,Female,Lawrence Sanchez
IND49616,Angela Alvarez,34,31338,8/22/2016 0:00,Patrick Graham,Australian,Biostatistician IV,Low,Jade,130023.3615,15464.38,1,219.186,366887.1429,447804.6197,221138.0838,271999.8431,31010.8338,787555.5561,0,1,Private Bank,Male,Peter Castillo
IND55475,Henry Grant,75,21778,4/6/2013 0:00,Anthony Simpson,European,Software Test Engineer I,Low,Jade,82703.8107,8635.67,2,8521.8034,842201.3752,2098819.503,990288.0754,424345.8305,32253.4398,272858.2114,3,4,Private Bank,Male,Victor Gutierrez
IND61272,Larry Foster,47,34773,12/10/2020 0:00,Raymond Alexander,European,Internal Auditor,High,Gold,137256.0924,18322.92,2,1050.5628,1035297.661,976553.209,180073.6414,471515.9041,34284.8268,469532.2842,0,1,Private Bank,Female,Daniel Carroll
